Price,Close,High,Low,Open,Volume,SMA20,EMA20,RSI
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2023-01-03,123.09601593017578,128.83399514878522,122.21021915687207,128.2237854341601,112117500,,123.09601593017578,
2023-01-04,124.36565399169922,126.62935597280962,123.10585750129947,124.88728777203856,89113600,,123.7625759124756,
2023-01-05,123.04680633544922,125.75340309203497,122.79091532129203,125.12350481122068,80962700,,123.49974961483312,
2023-01-06,127.57418823242188,128.2336117453076,122.91884655664052,124.02117217456781,87754700,,124.6759770474232,
2023-01-09,128.09584045410156,131.30439758356596,127.83994943275363,128.41079711233908,70790800,,125.50321290309282,
2023-01-10,128.6666717529297,129.1883055110105,126.09786503081405,128.20408860626057,63896200,,126.1705582218242,
2023-01-11,131.38314819335938,131.402821722743,128.40097153395064,129.17849644752224,69458900,,127.15612996440325,
2023-01-12,131.30441284179688,132.14098840377943,129.36550386584642,131.76699610111268,71379600,,127.8731815040111,
2023-01-13,132.63308715820312,132.79056549396478,129.58202324711493,129.94617875784812,57809700,,128.6366936457474,
2023-01-17,133.79444885253906,135.12313266732727,132.01301865225,132.7019674841355,63646600,,129.4134068887967,
2023-01-18,133.0760040283203,136.42233624485746,132.898837136548,134.6605941996835,69672800,,129.93603322142934,
2023-01-19,133.1350555419922,134.0995841255356,131.6587298451973,131.9638347529944,58280400,,130.37183012907286,
2023-01-20,135.69400024414062,135.84164181281548,132.10161400912494,133.14488168206822,80223600,,131.0683107604536,
2023-01-23,138.8828887939453,141.05801539977267,135.72354499448727,135.94007397852303,81760300,,132.05577847651395,89.42986469485933
2023-01-24,140.28042602539062,140.90048744485267,138.08562666123444,138.0954634232415,66435100,,133.06369300730105,90.11962171622733
2023-01-25,139.6210174560547,140.18201330953534,136.61915274790366,138.6663258108729,65799300,,133.8459178158188,86.6605552021092
2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100,,134.75941773151686,93.24222584128833
2023-01-27,143.62677001953125,144.9062550377642,140.82176076743906,140.90049992434123,70555800,,135.77086812264764,92.31990281107696
2023-01-30,140.74302673339844,143.2527830109075,140.59540019505755,142.67209860282117,64015300,,136.3275350147264,79.64946320565598
2023-01-31,142.01266479492188,142.06187864867766,140.03439402480078,140.4477633640219,65874500,133.63600120544433,136.9535575895135,80.29509420943944
2023-02-01,143.13467407226562,144.29605796571016,139.08955653554688,141.69772563249788,77663600,134.63793411254883,137.62421824678782,78.75738213232724
2023-02-02,148.4396209716797,148.79392468833726,145.83143680858885,146.54991104174482,118339000,135.84163246154785,138.7823453433493,83.39102815320874
2023-02-03,152.0615234375,154.8960731461596,145.4967979818679,145.69363837431163,154357300,137.2923683166504,140.1876533309962,84.75367363271207
2023-02-06,149.33523559570312,150.68362304726807,148.40023248441526,150.16198925829823,69858300,138.38042068481445,141.14557878992318,76.32554227493115
2023-02-07,152.20916748046875,152.7800151967711,148.26246234257331,148.26246234257331,83322600,139.58608703613282,142.2932654008119,80.20513003340145
2023-02-08,149.52223205566406,152.14025265616812,148.78406936876726,151.45130381865607,64120100,140.62886505126954,143.03684718367782,73.8880634197555
2023-02-09,148.48878479003906,151.89418154841005,148.04589023070798,151.3528593012469,56007100,141.48414688110353,143.59339846163792,69.51946198737839
2023-02-10,148.85354614257812,149.1788354914484,147.08911426452642,147.32569243849323,57450700,142.3616035461426,144.12672055921348,66.64533684392327
2023-02-13,151.6529998779297,152.05713357186568,148.76483299254943,148.79440338379132,62199000,143.3125991821289,144.88513880118,68.1367927857073
2023-02-14,151.01229858398438,151.5741661946545,148.70571743057644,149.94771919605148,61707600,144.17349166870116,145.49917230997085,68.17747299331425
2023-02-15,153.11184692382812,153.27941747242824,150.69683660205456,150.92354792770303,65573800,145.17528381347657,146.2582986109157,68.21061736298742
2023-02-16,151.51498413085938,154.09756497312395,151.16012443154224,151.3178281549916,68167900,146.09428024291992,146.78015042277593,62.713013968129054
2023-02-17,150.3715362548828,150.8151070910907,148.69581585093724,150.17439533222245,59144100,146.82815704345703,147.13524828081972,66.43995147846857
2023-02-21,146.3596649169922,149.1394018439348,146.29067235544917,148.05510409777494,58867200,147.20199584960938,147.05884044475212,56.786650677057054
2023-02-22,146.78355407714844,147.80869615626176,145.0585442502877,146.74411685820635,51011300,147.52715225219725,147.03180879117946,55.823674414096466
2023-02-23,147.26654052734375,148.19311959888688,145.13739706863274,147.946689634791,48394200,147.90942840576173,147.05479024980417,47.78714396819064
2023-02-24,144.61492919921875,145.08807039598366,143.6390613800591,145.00921102304162,55469600,148.05578002929687,146.81655056602852,35.41926848360632
2023-02-27,145.80767822265625,147.03982803359767,145.344388690471,145.6006854773172,44998500,148.16482543945312,146.71827596836985,42.65159490606532
2023-02-28,145.30494689941406,146.95109701970668,144.7332276594082,144.95008720013072,50547000,148.3929214477539,146.58090151458072,34.04090972898733
2023-03-01,143.23492431640625,145.12750429739225,142.9392054041828,144.73322244168676,55479000,148.45403442382812,146.25631176444946,35.0402525742841
2023-03-02,143.82638549804688,144.6149643784106,141.8450789930105,142.31823534576338,52238100,148.48861999511718,146.0210038547917,38.66814813386313
2023-03-03,148.87326049804688,148.9521198871165,145.22610023869615,145.9259528752422,70732300,148.51030197143555,146.29676811910667,50.039031817577616
2023-03-06,151.6332550048828,154.06798373466975,151.26854354881283,151.59381779613093,87558000,148.4888885498047,146.811970476801,49.96084658518077
2023-03-07,149.4351043701172,151.83039589059405,148.9718149331636,151.50510660246357,56182000,148.4938819885254,147.06488650672412,47.05441815903058
2023-03-08,150.6869659423828,151.27840377958802,149.6618240709013,150.6278251668401,47204800,148.4177719116211,147.41370697236056,45.32318926137838
2023-03-09,148.4395294189453,152.33311931510104,148.08466971716794,151.36711819838627,53833600,148.36363677978517,147.51239251815412,44.21365104428335
2023-03-10,146.37939453125,148.78455331931613,145.50210448552664,148.0649820559655,68572400,148.2581672668457,147.40350143062295,42.73938905512068
2023-03-13,148.32127380371094,150.95314411845015,145.59082548311505,145.69925527320058,84457100,148.23155364990234,147.4916307052618,53.85812602563441
2023-03-14,150.4109649658203,151.2093955139033,147.95653254628945,149.11967456920323,73695900,148.16945190429686,147.7717398832362,56.69570732960345
2023-03-15,150.80528259277344,151.06156433450928,147.77911548729296,149.03098388604963,77167900,148.15910110473632,148.06260035407806,56.553489005601335
2023-03-16,153.6244354248047,154.22572509887632,149.47454848721353,149.98712698991974,76161100,148.18473052978516,148.59553429511374,66.58204058569487
2023-03-17,152.78656005859375,154.50171782493953,152.07684064085686,153.8511391851991,98944600,148.24830932617186,148.99688409001104,63.01467625506224
2023-03-20,155.1522674560547,155.5662829465371,151.94867858194203,152.85555389921097,73641400,148.48734588623046,149.58603891949068,67.17083081455246
2023-03-21,157.00543212890625,157.1237136794573,154.30455474450915,155.07342994575768,73938300,149.01963424682617,150.29583925164306,74.19469341620714
2023-03-22,155.576171875,159.824622189753,155.55645326577164,157.02518131500096,75701800,149.45926513671876,150.80078220876,70.05390877697391
2023-03-23,156.66043090820312,159.24302685232914,155.4282812343858,156.56186795883147,67622100,149.92895965576173,151.36090559177606,65.36968683592978
2023-03-24,157.96157836914062,158.0502895303303,155.59585715875076,156.59142861861952,59196500,150.5962921142578,151.99164149922197,63.25356686558751
2023-03-27,156.01971435546875,158.47416184588545,155.61556566491817,157.6560126824132,52390300,151.10689392089844,152.37642681868297,63.93995915527263
2023-03-28,155.3987274169922,156.226743517172,153.7525770821358,155.71416498675424,45992200,151.61158294677733,152.66505175925786,60.248807143596814
2023-03-29,158.47418212890625,158.75018247951246,157.07446176772007,157.09416533498404,51305700,152.37354583740233,153.21967016530456,71.06801739951676
2023-03-30,160.04144287109375,160.14987263415844,158.96701206310877,159.2232937572216,49501700,153.18429870605468,153.87081582139115,79.29001748196845
2023-03-31,162.54518127441406,162.64375926608275,159.59788883873148,160.120319104618,68749800,153.86789474487304,154.69861715951987,79.77721187743332
2023-04-03,163.79702758789062,163.91530912930577,161.87487733545584,161.92416632467473,56976200,154.47608337402343,155.56671817686288,79.042006958675
2023-04-04,163.26478576660156,164.4574983782598,162.75220722625122,164.22093523724538,46278300,155.16756744384764,156.30108115721143,76.8709555977949
2023-04-05,161.42144775390625,162.69303455117807,159.489445623491,162.38746386000238,51511700,155.70429153442382,156.7894654024048,67.55439790083088
2023-04-06,162.3086395263672,162.60435849941234,159.6866210280676,160.11047335808198,45390100,156.39774703979492,157.31581312665742,71.39075798761196
2023-04-10,159.71615600585938,159.71615600585938,157.79400566862077,159.11486640899105,47716900,157.0645851135254,157.54469737574215,60.14908447554745
2023-04-11,158.50375366210938,160.0414742096721,158.21788648492154,160.03162242596915,47644200,157.5737091064453,157.6361373368944,53.429677534728484
2023-04-12,157.81373596191406,159.7457382241708,157.49829842634344,158.9177372546322,50133100,157.94384765625,157.65306845661698,55.301221109011934
2023-04-13,163.1957550048828,163.4323331532267,159.11487595150933,159.32188371142138,68445600,158.56337127685546,158.18142235587146,62.8638019636641
2023-04-14,162.8507537841797,163.9449032227771,161.48060404043056,162.23959735915352,49386500,159.02468719482422,158.62648564147494,60.000012483747724
2023-04-17,162.87046813964844,163.02818690758198,161.68760746192598,162.73246797792896,41516200,159.52888259887695,159.03097462736534,65.20788042649852
2023-04-18,164.09275817871094,165.019337094876,163.28446081239204,163.72804670609275,49923000,159.97590713500978,159.51337315083748,68.79790434966216
2023-04-19,165.23622131347656,165.75865162452376,163.1760554202755,163.43235220441335,47720200,160.38744659423827,160.0587376122798,65.9534669397835
